A/C,FLEET,AOC
195AV,A320,AVIANCA
230AC,A320,AVIANCA
253AC,A320,AVIANCA
266CT,A319,AVIANCA
281AV,A320,AVIANCA
284AV,A320,AVIANCA
345AV,A320,AVIANCA
398AV,A320,AVIANCA
401AV,A320,AVIANCA
411AE,A320,AVIANCA
411AV,A320,AVIANCA
416AV,A320,AVIANCA
417AV,A320,AVIANCA
422AV,A319,AVIANCA
426AV,A320,AVIANCA
4304,A320,AVIANCA
446AV,A320,AVIANCA
451AV,A320,AVIANCA
454AV,A320,AVIANCA
477AV,A320,AVIANCA
477TA,A319,TACA
478TA,A319,TACA
479TA,A319,TACA
480TA,A319,LACSA
481AV,A320,AVIANCA
490TA,A320,TACA
491TA,A320,TACA
492TA,A320,TACA
493TA,A320,LACSA
494TA,A320,TACA
495TA,A320,LACSA
496TA,A320,LACSA
497TA,A320,LACSA
498TA,A320,TACA
499TA,A320,TACA
519AV,A319,AVIANCA
520TA,A319,LACSA
521TA,A319,TACA
522TA,A319,TACA
524TA,A319,TACA
5273,A320,AVIANCA
5318,A320,AVIANCA
5319,A320,AVIANCA
5320,A320,AVIANCA
5335,A320,AVIANCA
536AV,A320,AVIANCA
538AV,A320,AVIANCA
557AV,A319,AVIANCA
562AV,A320,AVIANCA
564TA,A321,TACA
567AV,A320,AVIANCA
570TA,A321,LACSA
599AV,A320,AEROGAL
603AV,A320,TACA
612MX,A319,AVIANCA
632AV,A320,AVIANCA
634MX,A319,AVIANCA
647AV,A319,AVIANCA
664AV,A320,AVIANCA
680TA,A320,LACSA
681TA,A320,LACSA
682TA,A320,TACA
683TA,A320,LACSA
684TA,A320,LACSA
685TA,A320,TACA
686TA,A320,TACA
687TA,A320,TACA
688TA,A320,AVIANCA
689TA,A320,LACSA
690AV,A319,AVIANCA
691AV,A319,AVIANCA
692AV,A321,TACA
693AV,A321,TACA
694AV,A319,AVIANCA
695AV,A319,AVIANCA
696AV,A321,AVIANCA
697AV,A321,TACA
703AV,A319,LACSA
723AV,A319,AVIANCA
724AV,A320,AVIANCA
725AV,A321,AVIANCA
726AV,A319,AVIANCA
728AV,A320,AVIANCA
729AV,A321,AVIANCA
730AV,A319,AVIANCA
740AV,A320,AVIANCA
741AV,A319,AEROGAL
742AV,A320,AVIANCA
743AV,A320,AVIANCA
744AV,A321,AVIANCA
745AV,A320,AVIANCA
746AV,A321,AVIANCA
747AV,A321,AVIANCA
748AV,A320,AVIANCA
750AV,A320,AVIANCA
751AV,A319,AVIANCA
753AV,A319,AVIANCA
755AV,A320,AVIANCA
759AV,A321,AVIANCA
761AV,A321,AVIANCA
762AV,A320,AVIANCA
763AV,A320,AVIANCA
764AV,A320,AVIANCA
765AV,A320,AVIANCA
766AV,A320,AVIANCA
769AV,A320,TACA
775AV,A320,AVIANCA
776AV,A320,AVIANCA
779AV,A320,TACA
788AV,A320,TACA
805AV,A321,AVIANCA
810AV,A321,AVIANCA
818AV,A320,AVIANCA
821AV,A320,AVIANCA
862AV,A320,AVIANCA
920CG,A320,AVIANCA
934AG,A320,AVIANCA
937AV,A320,AVIANCA
938AV,A320,AVIANCA
939AV,A320,AVIANCA
947AV,A320,AVIANCA
948AV,A320,AVIANCA
950AV,A320,AVIANCA
951AV,A320,AVIANCA
954AV,A320,AVIANCA
955AV,A320,AVIANCA
956AV,A320,AVIANCA
957AV,A320,AVIANCA
958AV,A320,AVIANCA
959AV,A320,AVIANCA
960AV,A320,AVIANCA
961AV,A320,AVIANCA
962AV,A320,AVIANCA
980AV,A320,AVIANCA
990TA,A319,TACA
991TA,A319,LACSA
992AV,A320,AVIANCA
992TA,A319,AVIANCA
CJV,A320,AEROGAL
CJW,A320,AEROGAL
CRU,A320,AEROGAL
CSA,A319,AEROGAL
CSB,A319,AEROGAL
CSF,A320,AEROGAL
CTX,A320,AEROGAL
,,
